lats,lons,codes,pgas,times
36.568,35.39,0119,9.481401977112387,0.0
37.38676,37.13803,4615,58.97622399029407,0.0
37.37547,36.83836,4616,44.770604875137124,0.0
37.58551,36.8303,4617,69.29128708444361,0.0
37.58568,36.89845,4620,68.01872473655953,0.0
37.5361,36.91765,4624,66.67189861325193,0.0
37.966325,37.427653,4631,0.0075902958692147405,0.0
37.32632,40.72374,4701,7.300343707676815,0.0
37.41714,41.35743,4702,7.729666384313013,0.0
38.73555,41.77416,4904,4.2174180069674945,0.0
39.17639,41.44553,4905,4.119258532856711,0.0
38.66045,34.73317,5001,7.10532024173315,0.0
37.96789,34.673,5102,21.52410013490048,0.0
37.83234,34.9909,5103,11.956433198857265,0.0
37.48513,37.29775,4614,166.11004037571632,0.0
38.18488,34.48289,5104,30.12536123377368,0.0
40.9751,37.9174,5201,11.301583457287755,0.0
40.802083,37.015082,5202,4.0629537380357235,0.0
40.802083,37.015082,5202,3.4575142896289472,0.0
41.02264,37.56312,5204,5.3903748579724455,0.0
41.039715,40.501225,5301,0.3771887276519188,0.0
41.03429,41.00665,5302,0.42214092551048443,0.0
40.90938,35.90253,5502,3.003382226018305,0.0
41.13772,35.46641,5503,8.907412839196859,0.0
40.972266,35.669231,5504,9.126765369530094,0.0
41.2039,36.7287,5505,2.141447861522451,0.0
41.078162,36.047875,5506,3.0049156429981982,0.0
41.2056,36.96417,5507,7.229967789869822,0.0
41.3268,36.305,5508,6.114420222926978,0.0
38.00272,34.36281,5105,13.172750027263472,0.0
37.5701,36.35737,4613,69.04075665958302,0.0
38.02395,36.48187,4612,437.7728910646928,0.0
37.7472,37.28426,4611,112.22185835629767,0.0
36.64169,33.43956,3306,5.804762961196152,0.0
36.08189,32.84224,3307,0.5953870920775343,0.0
41.01319,34.03671,3701,1.1663124684729056,0.0
38.68963,35.49986,3801,23.202626133079235,0.0
38.47812,36.50359,3802,183.03005653476282,0.0
38.39485,35.479116,3803,24.190074852147475,0.0
38.72268,36.377902,3804,31.72353513721822,0.0
38.1057,35.357183,3805,34.61469065877758,0.0
39.15954,34.16151,4001,2.8101528957863193,0.0
39.15954,34.16151,4001,2.989495195356853,0.0
39.36518,33.712583,4002,1.6621427648359903,0.0
39.45045,33.96249,4004,1.734246186589264,0.0
39.45045,33.96249,4004,1.6745709030579201,0.0
37.90417,32.51583,4202,1.451539603704755,0.0
38.65491,32.91656,4203,1.4630814320410186,0.0
37.52506,34.04843,4206,20.697955096235823,0.0
37.70898,33.54467,4209,2.19366826366479,0.0
38.30882,32.85895,4210,1.6231552431763978,0.0
37.1856,32.24991,4211,1.8256388612841685,0.0
38.2382,32.21757,4212,0.3516226397787759,0.0
38.19588,38.87385,4404,40.65805086923305,0.0
38.8107,37.9396,4405,127.43953430488136,0.0
38.34388,37.97378,4406,321.58220886427955,0.0
38.09616,37.88732,4408,107.68447108111573,0.0
38.56063,37.49076,4409,162.98567330615248,0.0
38.86677,37.679,4410,107.3246842311234,0.0
38.59685,38.18385,4412,105.95969217642421,0.0
38.313533,39.039342,4413,42.78164970735334,0.0
38.406947,38.754133,4414,52.941154339187946,0.0
37.912,41.931,5601,1.9467318285198858,0.0
36.92142,34.89897,3305,13.8579058244888,0.0
37.931298,42.549843,5602,1.0677622752414422,0.0
41.46479,34.783223,5703,0.40881070992106117,0.0
37.2342,39.7509,6302,16.337713523077294,0.0
37.7524,39.3291,6303,18.229991798747484,0.0
36.727695,38.947,6306,22.75959940102765,0.0
39.82429,34.81589,6601,2.9155061570398333,0.0
39.82429,34.81589,6601,2.819131406524032,0.0
40.0674,35.4998,6603,16.126238502901046,0.0
39.8083,35.18763,6605,5.417554318040455,0.0
39.19403,35.25498,6606,12.893081168504096,0.0
39.99367,35.792573,6608,13.60581546837739,0.0
38.37088,34.02699,6802,17.038325560895423,0.0
40.2623,40.2101,6901,1.672702399553745,0.0
39.84972,33.51797,7101,3.675338944772517,0.0
39.66824,33.611341,7102,1.3964433214884027,0.0
39.357775,39.213415,6204,21.09720397213691,0.0
39.94027,34.03267,7103,5.401920137953595,0.0
37.569165,41.38612,7202,4.96542243022558,0.0
38.172402,41.502097,7204,4.0920450307402545,0.0
37.33154,42.21043,7301,1.6811564258584386,0.0
37.33154,42.21043,7302,2.6700280994465264,0.0
36.7088,37.1123,7901,40.88487158854863,0.0
37.19156,36.56195,8002,37.820399050414785,0.0
37.08417,36.26936,8003,55.810080136216925,0.0
35.3404,33.32231,99005,0.8314343439157235,0.0
35.35109,33.58497,99006,0.7737441790115316,0.0
35.52514,34.17501,99007,0.8324189516858922,0.0
35.16455,33.90496,99008,1.4799507885473406,0.0
35.12698,33.92635,99009,0.8716709551940318,0.0
35.22072,33.41489,99011,0.4795248282871263,0.0
37.873,41.15112,7201,12.902314110056539,0.0
39.063015,38.917087,6203,31.026378968095138,0.0
39.486,39.8998,6202,10.00967324153818,0.0
39.07473,39.53469,6201,9.30750386086397,0.0
41.80565,35.19271,5704,0.5496731743711885,0.0
40.16928,38.10632,5801,11.175165988886809,0.0
39.89281,37.74792,5802,17.596248214488583,0.0
39.74382,37.00179,5803,14.889270190522744,0.0
39.18482,36.08072,5804,43.86082940827687,0.0
39.27298,36.74701,5805,21.522949923346168,0.0
40.30028,37.82522,5806,7.8379817719710285,0.0
38.7269,37.2475,5807,53.36919456627013,0.0
39.8662,36.5932,5808,9.714025380119189,0.0
39.2308,37.3824,5809,51.836933429882954,0.0
39.3704,38.1179,5810,26.11643501976996,0.0
39.3616,36.4129,5811,29.59310908785426,0.0
40.087965,38.345738,5812,15.14035650774698,0.0
40.213954,37.540207,5813,6.734425167140602,0.0
40.061759,38.603635,5814,8.44282589456453,0.0
39.85441,37.39274,5815,16.439256863603283,0.0
39.86868,38.11835,5816,14.945991992327738,0.0
39.45554,37.04523,5817,16.037639687077732,0.0
39.6406,36.53457,5819,15.760621163455081,0.0
40.32915,36.55522,6001,6.0527040419759,0.0
40.69804,36.56921,6005,13.170081948604548,0.0
40.59835,36.93455,6006,6.331265350344299,0.0
40.38395,36.07173,6007,7.578877291910622,0.0
40.37583,36.90312,6008,17.906320206056144,0.0
40.00402,36.22301,6009,6.8933073423826325,0.0
40.29797,35.88037,6010,3.6681123058900953,0.0
40.11287,36.30716,6011,6.072885910612301,0.0
40.99379,39.66854,6101,1.686479743591831,0.0
41.03928,39.27829,6102,1.4014097944804953,0.0
37.74845,42.176023,5603,4.048186524325173,0.0
35.18271,33.36771,99012,0.6734506217521199,0.0
36.38226,33.93664,3304,4.112357273070003,0.0
36.1613,33.57584,3302,1.2697242781991727,0.0
36.31482,32.389255,0720,4.9680529395568716,0.0
38.89708,40.5032,1201,8.622421123497205,0.0
39.29345,41.00883,1206,5.039266883279707,0.0
38.75008,40.55931,1210,4.1571287460213835,0.0
38.96616,41.0504,1211,3.9944195369735853,0.0
39.43613,40.54324,1212,2.7282284608731344,0.0
39.43613,40.54324,1212,2.6217739656717853,0.0
39.231,40.4774,1213,5.873137995877679,0.0
38.83498,40.55687,1215,8.093878259276767,0.0
38.4744,42.15913,1302,1.700140837472333,0.0
38.50311,42.28097,1304,2.0966331667168294,0.0
38.58025,42.02169,1305,2.0556979959114514,0.0
38.7551,42.4896,1306,0.4559407119856854,0.0
36.316832,32.38749,0719,0.6641208057716518,0.0
38.222338,42.418672,1307,0.9123785034014085,0.0
40.61244,33.08222,1804,2.841041306019764,0.0
40.93112,33.62316,1805,1.8835940552630284,0.0
40.60098,33.601875,1806,0.8707020277980283,0.0
40.34595,33.98762,1810,2.750902001405432,0.0
41.13945,34.48578,1901,2.2630555120381373,0.0
40.97625,34.80015,1903,2.453015728850165,0.0
40.54596,34.93675,1904,8.775776114506407,0.0
40.5209,35.29965,1906,4.775614284119868,0.0
40.174458,34.857695,1907,10.54310649548877,0.0
40.157013,34.382448,1908,4.487337866026332,0.0
40.725295,34.467468,1909,3.5776108616134588,0.0
40.02767,34.60089,1910,7.526925283530584,0.0
40.27218,35.25307,1911,2.877563925641759,0.0
40.60827,33.61038,1802,0.9689726347317473,0.0
40.22327,32.67363,0641,1.8354038100432262,0.0
39.921437,33.224367,0633,1.5736535850495792,0.0
39.55831,33.11857,0603,1.687852502988553,0.0
36.77006,35.79005,0120,20.398638813162762,0.0
37.4339,35.82021,0122,56.17379461004218,0.0
37.00338,35.34376,0123,22.595549915267053,0.0
37.4087,34.87911,0124,16.63419516764651,0.0
37.01519,35.79577,0125,42.36316246569283,0.0
37.816183,35.92044,0127,52.12462086985867,0.0
37.250287,35.062788,0128,16.2447126853805,0.0
38.259195,36.210863,0129,141.85482255290094,0.0
37.25186,35.67104,0130,67.00957890096831,0.0
37.856602,36.115347,0131,273.2829106726368,0.0
37.855892,36.114868,0132,49.34232136179614,0.0
37.745495,35.864025,0133,66.6831528548869,0.0
37.74427,35.864475,0134,39.096397745652425,0.0
37.704858,35.723358,0138,18.62560169820663,0.0
37.400943,35.445322,0139,31.185213201186038,0.0
37.56261,35.52924,0140,72.93887116923034,0.0
37.56256,35.52789,0141,160.88888047874548,0.0
37.62072,35.611148,0142,19.26498531129453,0.0
37.621415,35.611477,0143,31.74222415254477,0.0
37.731023,35.45968,0144,56.48068889665896,0.0
37.79177,38.61597,0205,45.68921285602022,0.0
37.79667,37.92957,0213,106.07527696455412,0.0
40.3925,35.5215,0505,6.875525232105543,0.0
40.64382,35.80388,0506,4.217761996719182,0.0
40.87969,35.45884,0507,3.5565695267484077,0.0
40.76096,36.32186,0509,6.728998325505909,0.0
40.881525,35.203395,0510,4.998100415734624,0.0
40.785226,35.028318,0511,3.1975681722962492,0.0
40.815357,35.663114,0512,12.736599089653538,0.0
40.27218,35.25307,1911,2.7517047176543388,0.0
37.1659,34.60043,3303,10.80241811759457,0.0
37.93088,40.20278,2101,18.02256754472426,0.0
38.2644,39.759,2104,17.74999820290655,0.0
37.00777,36.6266,2718,41.71454970142021,0.0
40.906613,38.36115,2801,5.261067647247345,0.0
40.332029,38.760255,2802,16.799834463514895,0.0
40.295188,38.427003,2803,10.293690799691605,0.0
40.4487,39.4971,2901,2.937589029525463,0.0
40.12439,39.43658,2902,6.787844120250531,0.0
40.208409,39.65864,2903,8.164150991563275,0.0
40.19031,39.11936,2904,10.861753355283799,0.0
40.560728,39.29482,2905,2.9363250369828924,0.0
40.70208,39.0867,2906,3.0516546558598208,0.0
36.54634,36.16459,3115,23.144252866501603,0.0
36.61618,36.20661,3116,15.884150012172457,0.0
36.21423,36.15973,3123,19.99803545227637,0.0
37.00879,37.80215,2704,53.460641596150495,0.0
36.2387,36.1722,3124,26.421049450231678,0.0
36.19117,36.1343,3129,22.058077447443555,0.0
36.82763,36.20485,3134,33.13158681332773,0.0
36.40886,35.8831,3135,12.78955807911499,0.0
36.11593,36.24722,3136,18.583148038319013,0.0
36.69293,36.48852,3137,20.952031559778927,0.0
36.58383,36.41439,3139,48.05855255492419,0.0
36.08155,35.94982,3140,25.273257201351658,0.0
36.3726,36.21973,3141,18.989323656895614,0.0
36.49797,36.36612,3142,17.323156556407408,0.0
36.848907,36.557138,3143,33.019902481040525,0.0
36.75691,36.485742,3144,65.19191032378394,0.0
36.490758,36.226952,3146,14.873038365067998,0.0
35.902362,36.064358,3147,6.027868051275526,0.0
36.23808,36.13264,3125,17.16937806358381,0.0
37.058,37.35,2703,52.65083344243916,0.0
39.700493,42.14172,2522,0.6585650667077558,0.0
39.64607,41.509117,2521,1.2855527736882122,0.0
38.4616,40.647,2106,6.878256928958554,0.0
38.14594,39.48379,2107,39.87905674436614,0.0
38.48776,41.002003,2108,4.995800375050534,0.0
38.39231,39.67541,2302,13.55734835187306,0.0
38.72096,39.86293,2304,3.1282078498291748,0.0
38.72778,40.13103,2305,4.465451327360965,0.0
38.69583,39.93199,2307,12.87440268401331,0.0
38.45063,39.3102,2308,40.65702553316818,0.0
38.79913,38.72728,2309,30.65658008552581,0.0
38.57266,38.824528,2310,46.32285395591394,0.0
39.74183,39.51152,2401,10.314338043166428,0.0
39.90631,38.77056,2404,13.710666677992903,0.0
39.77665,40.39108,2407,6.483519366432163,0.0
39.60185,39.03454,2408,14.634186817859415,0.0
39.2808,38.49109,2409,26.296550834177143,0.0
39.97017,40.02086,2411,2.71146723903094,0.0
39.97017,40.02086,2411,2.886747255357201,0.0
39.59168,39.69179,2412,5.215991225494815,0.0
39.80771,40.03856,2413,6.229036385878845,0.0
39.79505,39.41862,2414,8.627180632805011,0.0
39.46104,38.55493,2415,22.85567944668218,0.0
39.90316,41.26196,2501,1.8594115151979902,0.0
39.91733,40.68134,2506,2.0270833067156593,0.0
39.94292,41.11017,2508,2.277195544605643,0.0
39.87333,41.22269,2509,1.3088709660872195,0.0
39.36241,41.70601,2513,1.4974766113415194,0.0
39.6153,40.9756,2516,1.9591751352280145,0.0
40.30215,41.53888,2518,0.5038151825380033,0.0
40.48807,41.00883,2520,0.6856390250486009,0.0
37.94406,40.31274,2103,19.93639322410957,0.0
35.19748,33.33142,99013,0.762582151762865,0.0
