lats,lons,codes,pgas,times
37.03616,35.31843,0118,40.62628933512399,0.0
37.38676,37.13803,4615,578.522924174873,0.0
37.37547,36.83836,4616,570.6197818139242,0.0
37.58551,36.8303,4617,136.7962590939344,0.0
37.60011,36.87231,4618,89.52008548991785,0.0
37.58568,36.89845,4620,296.0504611598464,0.0
37.59347,36.92909,4621,158.94366037614526,0.0
37.5361,36.91765,4624,336.4870096592514,0.0
37.53872,36.98187,4625,431.5004623634387,0.0
38.241198,36.922805,4628,88.07609956436451,0.0
37.287373,36.788705,4629,289.35349938709896,0.0
37.344912,36.806037,4630,168.65572238109257,0.0
37.966325,37.427653,4631,17.763237015152683,0.0
37.256028,36.773694,4632,329.9324706691408,0.0
37.32632,40.72374,4701,27.079240203736322,0.0
37.5701,36.35737,4613,140.01415740113404,0.0
37.41714,41.35743,4702,12.614205927739954,0.0
38.66045,34.73317,5001,5.595186905512788,0.0
37.96789,34.673,5102,21.59881796115409,0.0
37.83234,34.9909,5103,9.332769500760847,0.0
38.18488,34.48289,5104,31.308070151112407,0.0
38.00272,34.36281,5105,14.123084453562015,0.0
40.9751,37.9174,5201,7.17896747289128,0.0
40.802083,37.015082,5202,2.84048729754712,0.0
41.02264,37.56312,5204,3.636183730413343,0.0
40.90938,35.90253,5502,2.538803399790612,0.0
41.13772,35.46641,5503,3.2316229751187873,0.0
40.972266,35.669231,5504,6.0725444964342445,0.0
41.078162,36.047875,5506,1.5192636691095571,0.0
41.2056,36.96417,5507,5.985379056161387,0.0
41.3268,36.305,5508,1.7858371125477204,0.0
38.73555,41.77416,4904,15.965903162755017,0.0
38.02395,36.48187,4612,131.5373718094809,0.0
37.7472,37.28426,4611,317.6102127828995,0.0
38.406947,38.754133,4414,57.29281005257801,0.0
37.1659,34.60043,3303,17.896907428903457,0.0
36.38226,33.93664,3304,19.072409141068288,0.0
36.92142,34.89897,3305,18.577732256977725,0.0
36.64169,33.43956,3306,9.964291558957608,0.0
36.08189,32.84224,3307,2.338263267105383,0.0
38.68963,35.49986,3801,21.815590421408075,0.0
