lats,lons,codes,pgas,times
37.38676,37.13803,4615,2.008967101573944,7.82
37.256028,36.773694,4632,9.809860587120056,36.38
37.287373,36.788705,4629,3.26349139213562,35.1
37.128525,36.670482,2709,3.2975509762763977,42.4
37.344912,36.806037,4630,3.225456178188324,32.5
37.59347,36.92909,4621,0.22095423191785812,17.22
36.75691,36.485742,3144,5.8044858276844025,55.32
37.60011,36.87231,4618,0.22754906676709652,24.04
36.7088,37.1123,7901,0.2779789734631777,72.3
37.058,37.35,2703,0.22179405204951763,29.12
37.78694,37.65275,208,5.615606904029846,29.7
36.930889,36.573771,2707,9.117943048477173,49.480000000000004
36.85643,36.68833,2716,2.879277989268303,50.22
37.966325,37.427653,4631,4.248986067250371,28.62
37.7472,37.28426,4611,3.852243721485138,20.76
37.5361,36.91765,4624,0.2258565742522478,19.3
37.79667,37.92957,213,0.5253780633211136,40.160000000000004
36.855364,36.685618,2715,3.0818468891084194,51.92
37.7672,38.2866,210,0.5556602030992508,58.28
37.37547,36.83836,4616,3.411450982093811,31.18
37.53872,36.98187,4625,0.27954671531915665,18.580000000000002
38.029958,38.556268,217,0.9121829643845558,57.14
38.030907,38.557087,216,0.9121829643845558,57.14
38.028298,38.22594,214,2.058097720146179,48.84
37.58551,36.8303,4617,0.363329891115427,23.26
38.09616,37.88732,4408,0.9575046831741929,42.96
38.029958,38.556268,215,0.9121829643845558,57.14
37.58568,36.89845,4620,0.2335667610168457,21.62
37.184,36.73283,2712,3.1637191772460938,38.78
37.31736,37.56036,2711,0.7754934020340443,24.66
38.72096,39.86293,2304,0.2823352813720703,97.9
37.76121,38.26742,201,0.6359698949381709,56.08
37.7524,39.3291,6303,0.4423515754751861,98.04
38.313533,39.039342,4413,0.3844665363430977,79.2
38.7269,37.2475,5807,0.6833301857113838,66.08
37.00777,36.6266,2718,4.173161089420319,46.9
38.56063,37.49076,4409,1.2557638809084892,51.58
38.59685,38.18385,4412,0.7789678929839283,58.4
38.406947,38.754133,4414,0.8298873901367188,66.68
37.09933,36.648373,2708,5.338655412197113,43.34
36.78098,34.60277,3301,0.1660401001572609,92.96000000000001
38.241198,36.922805,4628,0.3864375874400139,41.54
36.848907,36.557138,3143,9.088896214962006,52.04
38.02395,36.48187,4612,0.14182627201080322,47.300000000000004
37.19156,36.56195,8002,0.9747661650180817,40.58
38.57266,38.824528,2310,0.6182776996865869,77.84
38.34388,37.97378,4406,0.918329507112503,53.78
